GTIN_CD,INGREDIENTS,SERV_SIZE_G,SERV_SIZE_ML,SERV_CT,CAL,CAL_FROM_FAT,TOT_FAT_G,TOT_FAT_DV,SAT_FAT_G,SAT_FAT_DV,TRANS_FAT_G,CHOL_MG,CHOL_DV,SOD_MG,SOD_DV,POT_MG,POT_DV,TOT_CARB_G,TOT_CARB_DV,DIET_FIBER_G,DIET_FIBER_DV,SUGARS_G,PROTEIN_G,VITAMIN_A,VITAMIN_C,CALCIUM,IRON,SOURCE,SYNC_DT
0073410000267,"WHOLE WHEAT FLOUR, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, SUNFLOWER SEEDS, WHEAT GLUTEN, WHEAT, RYE, CELLULOSE FIBER, OATS, YEAST, SOYBEAN OIL, GROUND CORN, SALT, MOLASSES, BUCKWHEAT, BROWN RICE, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, TRITICALE, BARLEY, FLAXSEED, MILLET, CALCIUM SULFATE, DATEM, GRAIN VINEGAR, CALCIUM CARBONATE, CITRIC ACID, SOY LECITHIN, NUTS [WALNUTS AND/OR HAZELNUTS (FILBERTS) AND/OR ALMONDS], WHEY, SOY FLOUR, NONFAT MILK",43,0,16,110,15,1.5,2,0,0,0,0,0,170,7,0,0,21,7,3,12,3,5,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/whole-grains/12-grain,2013-10-10
0073410001387,"WHOLE WHEAT FLOUR , UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, MOLASSES, YEAST, WHEAT, CELLULOSE FIBER, WHEAT GLUTEN, RYE, SOYBEAN OIL, GROUND CORN, SALT, BROWN RICE, OATS, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, DATEM, GRAIN VINEGAR, TRITICALE, CALCIUM SULFATE, BARLEY, FLAXSEED, MILLET, CITRIC ACID, SOY LECITHIN, CALCIUM CARBONATE, NUTS [WALNUTS AND/OR HAZELNUTS (FILBERTS) AND/OR ALMONDS] , WHEY, SOY FLOUR, NONFAT MILK",43,0,16,110,15,1.5,2,0,0,0,0,0,150,6,0,0,21,7,3,12,3,4,0,0,4,8,http://www.arnoldbread.com/products/sliced-breads/whole-grains/7-grain,2013-10-10
0073410003053,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE, (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, YEAST, SOYBEAN OIL, SALT, MONOGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, DATEM, WHEAT GLUTEN, WHEY, SOY FLOUR, NONFAT MILK",43,0,16,1.5,2,0,0,0,0,0,0,0,150,6,0,0,22,7,0.99,3,3,3,0,0,4,8,http://www.arnoldbread.com/products/sliced-breads/country/white,2013-10-10
0073410003435,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, YEAST, DEHYDRATED SOURDOUGH, SOYBEAN OIL, SALT, SUGAR, WHEAT GLUTEN, MONOGLYCERIDES, GRAIN VINEGAR, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, DATEM AND/OR SODIUM STEAROYL LACTYLATE, WHEY, SOY FLOUR, NONFAT MILK.",43,0,16,1.5,2,0,0,0,0,0,0,0,150,6,0,0,21,7,1,4,0.99,3,0,0,4,8,http://www.arnoldbread.com/products/sliced-breads/country/sourdough-0,2013-10-10
0073410003558,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, OATS, SUGAR, WHEAT GLUTEN, YEAST, SOYBEAN OIL, SALT, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, DATEM AND/OR SODIUM STEAROYL LACTYLATE, GRAIN VINEGAR, CALCIUM SULFATE, CITRIC ACID, CALCIUM CARBONATE, SOY LECITHIN, WHEY, SOY FLOUR, NONFAT MILK.",43,0,16,1.5,2,0,0,0,0,0,0,0,150,6,0,0,21,7,1,4,3,4,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/country/oatmeal-0,2013-10-10
0073410005002,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, YEAST, SOYBEAN OIL, SALT, MONOGLYCERIDES, WHEAT GLUTEN, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, DATEM, NATURAL FLAVOR, SOY LECITHIN, AZODICARBONAMIDE.",33,0,17,90,15,1.5,2,0,0,0,0,0,190,8,0,0,17,6,0.99,3,3,3,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/specialty/brick-oven-premium-white,2013-10-11
0073410012604,"WHOLE WHEAT FLOUR, WATER, CELLULOSE FIBER, WHEAT GLUTEN, YEAST, SUGAR, SALT, WHEAT BRAN, MOLASSES, MONO- AND DIGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, GRAIN VINEGAR, NATURAL & ARTIFICIAL FLAVOR, CALCIUM SULFATE, MONOCALCIUM PHOSPHATE, ETHOXYLATED MONO- AND DIGLYCERIDES, SOY LECITHIN, SUCRALOSE, AZODICARBONAMIDE, SOY FLOUR.",42,0,12,80,5,0.5,1,0,0,0,0,0,170,7,0,0,18,6,5,20,2,5,0,0,4,4,http://www.arnoldbread.com/products/sliced-breads/light-bread/bakery-light-100-whole-wheat,2013-10-11
0073410013090,"WHOLE WHEAT FLOUR, WATER, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], SUGAR, FLAXSEED, BULGUR WHEAT, WHEAT GLUTEN, YEAST, ALMONDS (NUTS), MOLASSES, HAZELNUTS (FILBERTS), SOYBEAN OIL, SALT, SESAME SEEDS, CALCIUM PROPIONATE (PRESERVATIVE), MONO- AND DIGLYCERIDES, DATEM AND/OR SODIUM STEAROYL LACTYLATE, GRAIN VINEGAR, CALCIUM SULFATE, CARAMEL COLOR, NATURAL BLACK WALNUT FLAVOR, SOY LECITHIN, CITRIC ACID, WHEY, SOY FLOUR, NONFAT MILK",43,0,16,130,25,3,5,0,0,0,0,0,150,6,0,0,21,7,2,8,5,5,0,0,6,8,http://www.arnoldbread.com/products/sliced-breads/whole-grains/nutty-almond,2013-10-10
0073410013502,"WHOLE WHEAT FLOUR , UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHEAT GLUTEN, WHEAT FIBER, YEAST, INULIN (CHICKORY ROOT FIBER), CELLULOSE FIBER, SUGAR, SUNFLOWER SEEDS, WHEAT, POLYDEXTROSE, RYE, MOLASSES, SALT, WHEAT PROTEIN ISOLATE, GROUND CORN, CULTURED DEXTROSE AND MALTODEXTRIN, RAISIN JUICE CONCENTRATE, BUCKWHEAT, DATEM, MONOGLYCERIDES, BROWN RICE, OATS, TRITICALE, CITRIC ACID, BARLEY, FLAXSEED, MILLET, STEVIA EXTRACT (A NATURAL SWEETENER), CALCIUM SULFATE, GRAIN VINEGAR, ETHOXYLATED MONO- AND DIGLYCERIDES, SOY LECITHIN, CALCIUM CARBONATE, NUTS (WALNUTS AND/OR HAZELNUTS AND/OR ALMONDS) , RICE PROTEIN, WHEY, SOY FLOUR, NONFAT MILK.",43,0,16,120,15,1.5,2,0,0,0,0,0,150,6,0,0,21,7,2,8,4,4,0,0,6,6,http://www.arnoldbread.com/products/sliced-breads/country/100-whole-wheat,2013-10-10
0073410013519,"WHOLE WHEAT FLOUR, WATER, HONEY, SUGAR, WHEAT GLUTEN, YEAST, WHEAT BRAN, SOYBEAN OIL, SALT, MONOGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, CALCIUM SULFATE, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, CALCIUM CARBONATE, WHEY, NONFAT MILK",43,0,16,100,10,1,2,0,0,0,0,0,150,6,0,0,20,7,3,12,4,5,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/country/honey-whole-wheat,2013-10-10
0073410013540,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, OAT BRAN, OATS, WHEAT GLUTEN, SOYBEAN OIL, YEAST, SALT, MOLASSES, MONOGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM CARBONATE, NATURAL FLAVOR, CALCIUM SULFATE, DATEM, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, NUTS [WALNUTS AND/OR HAZELNUTS (FILBERTS) AND/OR ALMONDS], WHEY, SOY FLOUR, NONFAT MILK",43,0,16,110,15,1.5,2,0,0,0,0,0,150,6,0,0,20,7,1,4,3,4,0,0,8,8,http://www.arnoldbread.com/products/sliced-breads/country/oat-bran,2013-10-10
0073410013557,"WHOLE WHITE WHEAT FLOUR, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, OATS, YEAST, WHEAT GLUTEN, HAZELNUTS (FILBERTS), SOYBEAN OIL, SALT, SUNFLOWER SEEDS, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, DATEM, CALCIUM SULFATE, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, CALCIUM CARBONATE, NUTS [WALNUTS AND/OR ALMONDS], WHEY, SOY FLOUR, NONFAT MILK",43,0,16,120,25,2.5,4,0,0,0,0,0,150,6,0,0,22,7,2,8,4,4,0,0,4,8,http://www.arnoldbread.com/products/sliced-breads/whole-grains/oatnut%C2%AE,2013-10-10
0073410013656,"WHOLE WHEAT FLOUR, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, RYE, WHEAT GLUTEN, YEAST, SUNFLOWER SEEDS, GROUND CORN, NUTS (ALMONDS AND/OR WALNUTS) , MOLASSES, SOYBEAN OIL, SALT, WHOLE WHITE WHEAT, BROWN RICE, OATS, TRITICALE, MONOGLYCERIDES, BARLEY, FLAXSEED, MILLET, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, DATEM, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, HAZELNUTS (FILBERTS), WHEY, SOY FLOUR, NONFAT MILK",43,0,16,120,20,2,3,0,0,0,0,0,150,6,0,0,21,7,2,8,3,5,0,0,4,8,http://www.arnoldbread.com/products/sliced-breads/whole-grains/health-nut%C2%AE,2013-10-10
0073410013748,"WHOLE WHEAT FLOUR, WATER, SUGAR, WHEAT GLUTEN, WHEAT PROTEIN ISOLATE, OATS, YEAST, CRACKED WHEAT, INULIN (CHICKORY ROOT FIBER), SOYBEAN OIL, SUNFLOWER SEEDS, RICE PROTEIN, SALT, BARLEY FLAKES, TRITICALE, WHEAT FLAKES, RAISIN JUICE CONCENTRATE, GRAIN VINEGAR, RYE, AMARANTH, FLAXSEED, MONOGLYCERIDES, WHEAT GERM, CORNMEAL, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, CALCIUM SULFATE, CITRIC ACID, SOY LECITHIN, CALCIUM CARBONATE, WHEY, NONFAT MILK",43,0,16,110,15,1.5,2,0,0,0,0,0,150,6,0,0,18,6,3,12,2,7,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/whole-grains/double-protein,2013-10-10
0073410013755,"WHOLE WHEAT FLOUR, WATER, SUGAR, WHEAT GLUTEN, YEAST, RAISIN JUICE CONCENTRATE, WHEAT BRAN, MOLASSES, SOYBEAN OIL, SALT, MONOGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, DATEM, GRAIN VINEGAR, CITRIC ACID, SOY LECITHIN, WHEY, NONFAT MILK",43,0,16,110,10,1,2,0,0,0,0,0,150,6,0,0,20,7,3,12,4,5,0,0,4,5,http://www.arnoldbread.com/products/sliced-breads/whole-grains/100-whole-wheat,2013-10-10
0073410013854,"WHOLE WHEAT FLOUR, WATER, SUGAR, WHEAT GLUTEN, BROWN RICE, CORNMEAL, OATS, WHEAT BRAN, YEAST, CELLULOSE FIBER, SOYBEAN OIL, BLACK & WHITE SESAME SEEDS, SALT, MOLASSES, DATEM, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, CALCIUM SULFATE, POPPY SEEDS, GRAIN VINEGAR, SOY LECITHIN, CITRIC ACID, CALCIUM CARBONATE, NUTS [WALNUTS AND/OR HAZELNUTS (FILBERTS) AND/OR ALMONDS], WHEY, NONFAT MILK",43,0,16,100,15,1.5,2,0,0,0,0,0,150,6,0,0,20,7,4,16,4,5,0,0,4,6,http://www.arnoldbread.com/products/sliced-breads/whole-grains/healthy-multi-grain,2013-10-10
0073410022504,"STONEGROUND WHOLE WHEAT FLOUR, WATER, WHEAT GLUTEN, SUGAR, YEAST, SOYBEAN OIL, CRACKED WHEAT, SALT, MOLASSES, MONO- AND DIGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), CALCIUM SULFATE, ETHOXYLATED MONO- AND DIGLYCERIDES, SOY LECITHIN, AZODICARBONAMIDE.",50,9,1,130,20,2,3,0,0,0,0,0,260,11,0,0,22,7,3,12,4,6,0,0,6,6,http://www.arnoldbread.com/products/sliced-breads/specialty/stone-ground-100-whole-wheat,2013-10-11
0073410025505,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHITE WHEAT FLOUR, SUGAR, YEAST, WHEAT GLUTEN, SOYBEAN OIL, SALT, CULTURED WHEAT STARCH, ENRICHMENT (CALCIUM SULFATE, VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), MONO- AND DIGLYCERIDES, DATEM, CITRIC ACID, GRAIN VINEGAR, MONOCALCIUM PHOSPHATE, SOY LECITHIN.",52,0,11,140,20,2,3,0,0,0,0,0,260,11,0,0,25,8,2,8,4,5,10,0,10,8,http://www.arnoldbread.com/products/sliced-breads/soft-familyreg/whole-grain-white,2013-10-11
0073410025529,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, YEAST, HONEY, SUGAR, WHEAT GLUTEN, SOYBEAN OIL, SALT, CULTURED WHEAT STARCH, ENRICHMENT (CALCIUM SULFATE, VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), MONO- AND DIGLYCERIDES, DATEM, CITRIC ACID, GRAIN VINEGAR, MONOCALCIUM PHOSPHATE, SOY LECITHIN.",52,0,11,140,20,2,3,0,0,0,0,0,240,10,0,0,25,8,2,8,4,5,10,0,10,8,http://www.arnoldbread.com/products/sliced-breads/soft-familyreg/honey-wheat,2013-10-11
0073410025543,"WHOLE WHEAT FLOUR, WATER, SUGAR, YEAST, WHEAT GLUTEN, SOYBEAN OIL, SALT, CULTURED WHEAT STARCH, RAISIN JUICE CONCENTRATE, ENRICHMENT (CALCIUM SULFATE, VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), MONO- AND DIGLYCERIDES, DATEM, GRAIN VINEGAR, CITRIC ACID, MONOCALCIUM PHOSPHATE, SOY LECITHIN.",52,0,11,130,25,2.5,4,0,0,0,0,0,240,10,0,0,23,8,3,12,4,6,10,0,10,6,http://www.arnoldbread.com/products/sliced-breads/soft-familyreg/100-whole-wheat,2013-10-11
